ticker,name,sector,price,shares_outstanding,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,total_debt,cash,total_equity,total_assets,current_assets,current_liabilities,market_cap,free_cash_flow,gross_margin,operating_margin,net_margin,current_ratio,debt_to_equity,book_value_per_share,revenue_per_share,eps,fcf_per_share,pe_ratio,pb_ratio,ps_ratio,fcf_yield,enterprise_value,ev_to_ebit,ev_to_sales,ev_to_fcf,roe,roa
GILD,"Gilead Sciences, Inc.",Healthcare,139.710007,1241203736,29442000000.000000,23208000000.000000,11701000000.000000,8510000000.000000,10019000000.000000,-563000000.000000,24936000000.000000,7564000000.000000,22702000000.000000,59023000000.000000,18342000000.000000,11813000000.000000,173408582289.837036,9456000000.000000,0.788262,0.397425,0.289043,1.552696,1.098405,18.290309,23.720522,6.856247,7.618411,20.377037,7.638472,5.889837,0.054530,190780582289.837036,16.304639,6.479878,20.175611,0.374857,0.144181
GOOG,Alphabet Inc.,Communication Services,294.459991,5438000000,402836000000.000000,240301000000.000000,129039000000.000000,132170000000.000000,164713000000.000000,-91447000000.000000,59291000000.000000,30708000000.000000,415265000000.000000,595281000000.000000,206038000000.000000,102745000000.000000,1601273433532.714844,73266000000.000000,0.596523,0.320326,0.328099,2.005334,0.142779,76.363553,74.077970,24.304892,13.472968,12.115256,3.856028,3.975001,0.045755,1629856433532.714844,12.630727,4.045955,22.245741,0.318279,0.222030
GOOGL,Alphabet Inc.,Communication Services,295.769989,5822000000,402836000000.000000,240301000000.000000,129039000000.000000,132170000000.000000,164713000000.000000,-91447000000.000000,59291000000.000000,30708000000.000000,415265000000.000000,595281000000.000000,206038000000.000000,102745000000.000000,1721972876037.597656,73266000000.000000,0.596523,0.320326,0.328099,2.005334,0.142779,71.326864,69.192030,22.701821,12.584335,13.028470,4.146684,4.274625,0.042548,1750555876037.597656,13.566099,4.345580,23.893155,0.318279,0.222030
HON,Honeywell International Inc.,Industrials,229.449997,635675701,37442000000.000000,13829000000.000000,6567000000.000000,4729000000.000000,6408000000.000000,-986000000.000000,35563000000.000000,12487000000.000000,13904000000.000000,73681000000.000000,30387000000.000000,23414000000.000000,145855787654.521729,5422000000.000000,0.369345,0.175391,0.126302,1.297813,2.557753,21.872788,58.901103,7.439328,8.529506,30.842839,10.490203,3.895513,0.037174,168931787654.521729,25.724347,4.511826,31.156730,0.340118,0.064182
IDXX,"IDEXX Laboratories, Inc.",Healthcare,569.549988,79424539,4303702000.000000,2659579000.000000,1360031000.000000,1059464000.000000,1181805000.000000,-138226000.000000,976062000.000000,180070000.000000,1605383000.000000,3350759000.000000,1413827000.000000,1148814000.000000,45236245217.912170,1043579000.000000,0.617975,0.316014,0.246175,1.230684,0.607993,20.212683,54.186049,13.339253,13.139252,42.697293,28.177852,10.511008,0.023070,46032237217.912170,33.846462,10.695963,44.109969,0.659945,0.316186
INSM,Insmed Incorporated,Healthcare,162.429993,215551896,606423000.000000,483485000.000000,-994776000.000000,-1276775000.000000,-935014000.000000,-32561000.000000,586671000.000000,510445000.000000,738976000.000000,2264558000.000000,1794208000.000000,468874000.000000,35012092888.530762,-967575000.000000,0.797274,-1.640400,-2.105420,3.826631,0.793897,3.428297,2.813350,-5.923284,-4.488826,-27.422289,47.379202,57.735430,-0.027635,35088318888.530762,-35.272583,57.861128,-36.264185,-1.727762,-0.563808
INTC,Intel Corporation,Technology,50.380001,5021010228,52853000000.000000,18375000000.000000,-23000000.000000,-267000000.000000,9697000000.000000,-14646000000.000000,46585000000.000000,14265000000.000000,114281000000.000000,211429000000.000000,63688000000.000000,31575000000.000000,252958500649.657532,-4949000000.000000,0.347662,-0.000435,-0.005052,2.017039,0.407636,22.760559,10.526368,-0.053177,-0.985658,-947.410115,2.213478,4.786076,-0.019564,285278500649.657532,-12403.413072,5.397584,-57.643666,-0.002336,-0.001263
INTU,Intuit Inc.,Technology,422.480011,276550000,18831000000.000000,14983000000.000000,4938000000.000000,3869000000.000000,6207000000.000000,-124000000.000000,6639000000.000000,2884000000.000000,19710000000.000000,36958000000.000000,14107000000.000000,10370000000.000000,116836847038.269043,6083000000.000000,0.795656,0.262227,0.205459,1.360366,0.336834,71.271018,68.092569,13.990237,21.996022,30.198203,5.927795,6.204495,0.052064,120591847038.269043,24.421192,6.403900,19.824404,0.196296,0.104686
KDP,Keurig Dr Pepper Inc.,Consumer Defensive,25.309999,1358666059,16603000000.000000,8999000000.000000,3653000000.000000,2079000000.000000,1991000000.000000,-503000000.000000,16141000000.000000,1026000000.000000,25516000000.000000,55459000000.000000,5266000000.000000,8290000000.000000,34387837227.684044,1488000000.000000,0.542010,0.220020,0.125218,0.635223,0.632583,18.780185,12.220074,1.530177,1.095192,16.540566,1.347697,2.071182,0.043271,49502837227.684044,13.551283,2.981560,33.268036,0.081478,0.037487
KHC,The Kraft Heinz Company,Consumer Defensive,22.790001,1183744751,24942000000.000000,8309000000.000000,4637000000.000000,-5846000000.000000,4462000000.000000,-801000000.000000,21219000000.000000,2615000000.000000,41664000000.000000,81786000000.000000,10127000000.000000,8778000000.000000,26977543959.040688,3661000000.000000,0.333133,0.185911,-0.234384,1.153680,0.509289,35.196777,21.070421,-4.938565,3.092728,-4.614701,0.647502,1.081611,0.135705,45581543959.040688,9.829964,1.827502,12.450572,-0.140313,-0.071479
